"Topic","Sentiment","TweetDate","TweetText"
"apple","positive","Tue Oct 18 21:53:25 +0000 2011","Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is"
"apple","positive","Tue Oct 18 21:09:33 +0000 2011","@Apple will be adding more carrier support to the iPhone 4S (just announced)"
"apple","positive","Tue Oct 18 21:02:20 +0000 2011","Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY"
"apple","positive","Tue Oct 18 20:40:10 +0000 2011","@RIM you made it too easy for me to switch to @Apple iPhone. See ya!"
"apple","positive","Tue Oct 18 20:34:00 +0000 2011","I just realized that the reason I got into twitter was ios5 thanks @apple"
"apple","positive","Tue Oct 18 20:30:50 +0000 2011","I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone"
"apple","positive","Tue Oct 18 19:30:39 +0000 2011","The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace"
"apple","positive","Tue Oct 18 19:22:35 +0000 2011","Great up close & personal event @Apple tonight in Regent St store!"
"apple","positive","Tue Oct 18 19:07:11 +0000 2011","From which companies do you experience the best customer service aside from @zappos and @apple?"
"apple","positive","Tue Oct 18 18:37:41 +0000 2011","Just apply for a job at @Apple, hope they call me lol"
"apple","positive","Tue Oct 18 18:35:43 +0000 2011","Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol"
"apple","positive","Tue Oct 18 18:16:09 +0000 2011","RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
"apple","positive","Tue Oct 18 18:14:01 +0000 2011","Wow. Great deals on refurbed "
"apple","positive","Tue Oct 18 18:05:50 +0000 2011","Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
"apple","positive","Tue Oct 18 18:04:25 +0000 2011","你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  "
"apple","positive","Tue Oct 18 17:41:43 +0000 2011","Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
"apple","positive","Tue Oct 18 17:33:54 +0000 2011","Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry."
"apple","positive","Tue Oct 18 17:31:29 +0000 2011","Thank you @apple for Find My Mac - just located and wiped my stolen Air. "
